code,subtype,type,src/0,src/1,title,price,location,size,measurement,suitability/0,suitability/1,suitability/2,src/2,src/3,suitability/3,suitability/4,suitability/5,suitability/6,suitability/7,suitability/8,src/4,src/5,src/6,src/7,src/8,src/9,src/10,src/11,src/12,details/0,details/1,details/2,details/3,details/4,details/5,details/6,room,bath,subtitle/0,suitability/9,suitability/10,suitability/11,suitability/12,suitability/13,suitability/14,suitability/15,suitability/16,suitability/17,suitability/18,suitability/19,suitability/20,subitle,suitability/21,suitability/22,suitability/23,suitability/24,details/7,subtitle/1,subtitle/2,subtitle/3,subtitle/4,details/8,subtitle/5,details/9,details/10,details/11
ntr3,cfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/distress-apapa.png,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/landacre.mp4,Distress Sale Apapa,"₦ 1, 500, 000, 000",Apapa lagos,588.55,Sqm,office suites,retail outlet,mixed-use development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr2,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/4.25-Iju/acl4.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/4.25-Iju/acl2.jpg,"Distress sale, 4.25 acres of land facing the express","₦ 3, 500, 000, 000","iju road, iju",296,m,high-rise building,hospital,school,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/4.25-Iju/acl3.jfif,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/4.25-Iju/acl1.jfif,church,warehouse/showroom,mega filing station,recreational facility,event centre,factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr11,cfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw1.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw2.jpg,19 floors greystone tower available for sale,Contact Us,"idowu taylor str, victoria island lagos",1200,sqm,mixed development,high-rise building,hospital,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw3.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw4.jpg,school,church,warehouse/showroom,filing station,event centre,,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw5.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw6.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw7.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw8.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw9.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw10.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw11.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw12.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/greystone_tower/tw13.jpg,floor : 19,floor 1 - 5 : car park,floor 17 : car park,endless swimming pools,3 bedroom luxury flats,floor 19 : sky lounge,offices : 416.52sqm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dtr1,afs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr1.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr2.jpg,3 units of 4 bedroom townhouse / terrance duplexes,"₦ 360, 000, 000 per unit","the yellow gate residence, off freedom way, lekki phase 1 lagos",,,high-rise building,family home,leisure,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr3.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr4.jpg,residental living,vacation home,,,,,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr5.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr6.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr7.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr8.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr9.jpg,,,,,rooftop gym,jacuzzi,exclusive lounge,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dtr1,afs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr2.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr1.jpg,4 units of 3 bedroom flats + 1 bq,"₦ 241, 000, 000 per unit","the yellow gate residence, off freedom way, lekki phase 1 lagos",,,high-rise building,family home,leisure,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr3.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr4.jpg,residental living,vacation home,,,,,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr5.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr6.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr7.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr8.jpg,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/yellow-gate-residence/ygr9.jpg,,,,,rooftop gym,jacuzzi,exclusive lounge,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr1,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/fence2.jpg,,fenced and gated land for sale,"₦ 4, 000, 000, 000","off ikorodu road, by ismail estate, maryland ikeja lagos","5,800",sqm,,,,,,,,,,,,,,,,,,,,,factories,warehouses,residential duplex,swimming pool,bungalow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr4,lfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/land4.jpg,,land for sale,"₦ 170, 000, 000","sari iganmuu road, iganmu lagos","1, 651",sqm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A104,cfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/tankfarm.jpg,,30km Tank Farm for Sale at Kiri Kiri,"₦ 18, 000, 000, 000",Kiri Kiri,1,acres,storage,inventory managment,blending and processing,,,transportation and distribution,quality control ,safety and environmental protection,regular compliance,,,,,,,,,,,,4 loading bays,3 tanks,1 acres of land,title: C of O,AGO & DPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A104,cfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/tank2.jpg,,30km Tank Farm for Sale at Dockyard Apapa,"₦ 20, 000, 000, 000",Dockyard Apapa,2.5,acres,storage,inventory managment,blending and processing,,,transportation and distribution,quality control ,safety and environmental protection,regular compliance,,,,,,,,,,,,6 loading bays,10 tanks,2.5 acres of land,title: C of O,AGO & DPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A104,cfs,sale,https://hgvmdoevulnsfenaynow.supabase.co/storage/v1/object/public/properties/tank1.jpg,,30km Tank Farm for Sale at Ibafon Apapa,"₦ 20, 000, 000, 000",Ibafon Apapa,2.5,acres,storage,inventory managment,blending and processing,,,transportation and distribution,quality control ,safety and environmental protection,regular compliance,,,,,,,,,,,,6 loading bays,10 tanks,2.5 acres of land,title: C of O,AGO & DPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
